Sommario profitti e perdite Realizzati e Non realizzati,Header,Tipo di attivo,Simbolo,Agg. costo,Realizzato Profitto S/T,Realizzato Perdita S/T,Realizzato Profitto L/T,Realizzato Perdita L/T,Realizzato Totale,Non realizzato Profitto S/T,Non realizzato Perdita S/T,Non realizzato Profitto L/T,Non realizzato Perdita L/T,Non realizzato Totale,Totale,Codice
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 145 P,0,3584.826185872,0,0,0,3584.826185872,0,0,0,0,0,3584.826185872,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 148 C,0,0,-794.812013874,0,0,-794.812013874,0,0,0,0,0,-794.812013874,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 152.5 C,0,768.250699094,0,0,0,768.250699094,0,0,0,0,0,768.250699094,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 155 C,0,461.035090402,0,0,0,461.035090402,0,0,0,0,0,461.035090402,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 155 P,0,341.860219619,0,0,0,341.860219619,0,0,0,0,0,341.860219619,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 160 C,0,1226.746868086,0,0,0,1226.746868086,0,0,0,0,0,1226.746868086,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 160 P,0,0,-7812.745348283,0,0,-7812.745348283,0,0,0,0,0,-7812.745348283,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 165 C,0,277.598828435,0,0,0,277.598828435,0,0,0,0,0,277.598828435,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 170 C,0,0,-588.17952115,0,0,-588.17952115,0,0,0,0,0,-588.17952115,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 175 C,0,233.810215684,0,0,0,233.810215684,0,0,0,0,0,233.810215684,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 21OCT22 180 C,0,0,-128.678014515,0,0,-128.678014515,0,0,0,0,0,-128.678014515,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 18NOV22 155 P,0,0,-1774.65726274,0,0,-1774.65726274,0,0,0,0,0,-1774.65726274,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 18NOV22 160 C,0,300.762059818,-10.613939732,0,0,290.148120086,0,0,0,0,0,290.148120086,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 18NOV22 175 C,0,0,-76.979005571,0,0,-76.979005571,0,0,0,0,0,-76.979005571,
Sommario profitti e perdite Realizzati e Non realizzati,Data,Opzioni su indici e su azioni,AAPL 16DEC22 135 P,0,21.350622724,0,0,0,21.350622724,0,0,0,0,0,21.350622724,
